Country,2019_LE,2010-2018_gini,2019_scho_y,2017_health_exp,log_2019_GDP
 Algeria,76.9,27.6,8.0,6.4,4.054995861529141
 Angola,61.1,51.3,5.2,2.8,3.8230827965328036
 Argentina,76.7,41.4,10.9,9.1,4.343093345096137
 Armenia,75.1,34.4,11.3,10.4,4.135259898515659
 Australia,83.4,34.4,12.7,9.2,4.696845459147521
 Austria,81.5,29.7,12.5,10.4,4.750909334287183
 Bangladesh,72.6,32.4,6.2,2.3,3.6770591773921613
 Belarus,74.8,25.2,12.3,5.9,4.282168778304642
 Belgium,81.6,27.4,12.1,10.3,4.713557740135992
 Benin,61.8,47.8,3.8,3.7,3.5167997040816243
 Bhutan,71.8,37.4,4.1,3.2,4.054804500220955
 Bolivia (Plurinational State of),71.5,42.2,9.0,6.4,3.940715656906663
 Bosnia and Herzegovina,77.4,33.0,9.8,8.9,4.173040507551063
 Botswana,69.6,53.3,9.6,6.1,4.249589657772943
 Brazil,75.9,53.9,8.0,9.5,4.165896909992507
 Bulgaria,75.0,40.4,11.4,8.1,4.363442741279142
 Burkina Faso,61.6,35.3,1.6,6.9,3.3404441148401185
 Burundi,61.6,38.6,3.3,7.5,2.876217840591642
 Cabo Verde,73.0,42.4,6.3,5.2,3.855640280890145
 Cameroon,59.3,46.6,6.3,4.7,3.5626496722119168
 Canada,82.4,33.8,13.4,10.6,4.690470750885442
 Central African Republic,53.3,56.2,4.3,5.8,2.975431808509263
 Chad,54.2,43.3,2.5,4.5,3.1986570869544226
 Chile,80.2,44.4,10.6,9.0,4.384281712885585
 China,76.9,38.5,8.1,5.2,4.207284205912198
 Colombia,77.3,50.4,8.5,7.2,4.16823222951342
 Comoros,64.3,45.3,5.1,7.4,3.4886916983169405
 Congo,64.6,48.9,6.5,2.9,3.5182506513085
 Congo (Democratic Republic of the),60.7,42.1,6.8,4.0,3.040602340114073
 Costa Rica,80.3,48.0,8.7,7.3,4.293185706706598
 Croatia,78.5,30.4,11.4,6.8,4.45498198398436
 Cyprus,81.0,31.4,12.2,6.7,4.597091579877127
 Czechia,79.4,24.9,12.7,7.2,4.605455891473379
 Cote d'Ivoire,57.8,41.5,5.3,4.5,3.7191654940892134
 Denmark,80.9,28.7,12.6,10.1,4.75727453082555
 Djibouti,67.1,41.6,4.1,3.3,3.7418603940652635
 Dominican Republic,74.1,43.7,8.1,6.1,4.265266047887377
 Ecuador,77.0,45.4,8.9,8.3,4.05595140532915
 Egypt,72.0,31.5,7.4,5.3,4.070518097019869
 El Salvador,73.3,38.6,6.9,7.2,3.9432966145666546
 Estonia,78.8,30.4,13.1,6.4,4.564784384503986
 Eswatini (Kingdom of),60.2,54.6,6.9,6.9,3.9389198122447717
 Ethiopia,66.6,35.0,2.9,3.5,3.346352974450639
 Fiji,67.4,36.7,10.9,3.5,4.141543834220653
 Finland,81.9,27.4,12.8,9.2,4.686823886840014
 France,82.7,31.6,11.5,11.3,4.664491544490574
 Gabon,66.5,38.0,8.7,2.8,4.172310968521955
 Gambia,62.0,35.9,3.9,3.3,3.343802333161655
 Georgia,73.8,36.4,13.1,7.6,4.176496411530366
 Germany,81.3,31.9,14.2,11.2,4.730903344611624
 Ghana,64.1,43.5,7.3,3.3,3.7334380270910614
 Greece,82.2,34.4,10.6,8.0,4.4816575725709855
 Guatemala,74.3,48.3,6.6,5.8,3.9364131997114797
 Guinea,61.6,33.7,2.8,4.1,3.4089180208467798
 Guinea-Bissau,58.3,50.7,3.6,7.2,3.2986347831244354
 Haiti,64.0,41.1,5.6,8.0,3.2377949932739227
 Honduras,75.3,52.1,6.6,7.9,3.758003009299799
 Hungary,76.9,30.6,12.0,6.9,4.513523896113745
 Iceland,83.0,26.8,12.8,8.3,4.747209763462261
 India,69.7,37.8,6.5,3.5,3.8295610562993927
 Indonesia,71.7,39.0,8.2,3.0,4.072323438293041
 Iran (Islamic Republic of),76.7,40.8,10.3,8.7,4.162444914299978
 Iraq,70.6,29.5,7.3,4.2,4.036668810300097
 Ireland,82.3,32.8,12.7,7.2,4.938424650310129
 Israel,83.0,39.0,13.0,7.4,4.60381533180968
 Italy,83.5,35.9,10.4,8.8,4.627498992510787
 Japan,84.6,32.9,12.8,10.9,4.617304450562998
 Jordan,74.5,33.7,10.5,8.1,3.995898323646437
 Kazakhstan,73.6,27.5,11.9,3.1,4.420797100999845
 Kenya,66.7,40.8,6.6,4.8,3.6364878963533656
 Korea (Republic of),83.0,31.6,12.2,7.6,4.630031031361694
 Kyrgyzstan,71.5,27.7,11.1,6.2,3.7204074008031087
 Lao People's Democratic Republic,67.9,36.4,5.3,2.5,3.8935398435646613
 Latvia,75.3,35.6,13.0,6.0,4.488973524726508
 Lebanon,78.9,31.8,8.7,8.2,4.167819289877132
 Lesotho,54.3,44.9,6.5,8.8,3.44216608578472
 Liberia,64.1,35.3,4.8,8.2,3.1547282074401557
 Lithuania,75.9,37.3,13.1,6.5,4.56790818266893
 Luxembourg,82.3,34.9,12.3,5.5,5.058737207940545
 Madagascar,67.0,42.6,6.1,5.5,3.216429830876251
 Malawi,64.3,44.7,4.7,9.6,3.0253058652647704
 Malaysia,76.2,41.0,10.4,3.9,4.452568381988099
 Maldives,78.9,31.3,7.0,9.0,4.276783384700269
 Mali,59.3,33.0,2.4,3.8,3.36679638328673
